Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Dayofweek,month
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,1.9754861949897478,8.878257022166919,19.049222428306464,26.67023603861839,68.0,71.0,21.0,25.0,29.0,47.0,31.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,1.890549150408416,9.090120964697709,18.333100237958277,26.465701216088533,28.686784347331624,32.95404948549857,95.0,30.63035086349866,82.0,47.0,25.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.37996234379364907,1.8216909936970167,19.0,34.0,41.0,41.0,26.0,19.0,17.0,17.0,24.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,1.8216909936970167,15.0,31.0,23.0,9.0,11.0,17.0,21.0,9.0,6.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,17.0,26.0,20.0,20.0,16.0,25.0,35.0,25.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,2.7334855186189184,7.535083730322873,48.0,35.0,43.0,53.0,41.0,48.0,39.0,15.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,26.0,36.0,37.0,38.0,44.0,36.0,24.0,17.0,18.0,14.0,4.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.252574748236668,20.0,18.26499705660626,71.0,32.65530032814952,72.0,67.0,77.0,29.236149162535398,23.19887486621643,54.0,6.074536029039239,6.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.1711786840038941,1.890549150408416,8.772849676113252,18.13163993592315,61.0,65.0,77.0,69.0,79.0,27.739657111882902,21.121463621311563,49.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.37996234379364907,5.0,11.0,31.0,42.0,43.0,39.0,43.0,38.0,41.0,37.0,26.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,15.0,17.0,19.0,18.0,21.0,22.0,24.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,11.0,19.0,34.0,47.0,50.0,48.0,40.0,26.0,14.0,4.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.7334855186189184,22.0,24.0,28.0,39.0,44.0,44.0,43.0,45.0,49.0,31.0,14.0,3.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,19.0,21.0,23.0,25.0,40.0,30.0,39.0,32.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.6184638664745106,8.694496115757364,38.0,46.0,49.0,72.0,79.0,78.0,51.0,21.121463621311563,32.0,15.0,1.5940933086032245,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,1.890549150408416,8.944259753328765,18.033476802671455,26.23743872951674,81.0,81.0,90.0,68.0,17.0,32.0,21.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
